Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,9748900,5,7,3,5,3,0
1,7979800,5,0,5,2,1,1
2,14960000,3,7,1,5,3,0
3,10013300,3,0,1,2,2,0
4,9004400,1,0,4,3,3,1
5,9206600,2,7,4,5,2,1
6,8270400,6,7,6,5,1,0
7,10916300,4,7,6,7,0,1
8,7980000,6,5,6,2,1,0
9,8779000,4,0,7,3,3,1
10,11968300,7,3,6,4,2,0
11,9869200,1,5,3,7,3,1
12,9597000,6,0,3,3,2,0
13,9971700,6,2,5,1,3,0
14,6982200,5,1,3,3,2,0
15,9821800,2,0,3,0,0,1
16,6038400,6,7,3,7,0,0
17,5984700,6,4,5,3,3,0
18,4825500,1,7,1,5,1,0
19,5748100,5,3,6,4,3,1
20,3819500,6,4,6,3,1,0
21,4255400,6,3,6,4,1,1
22,3989200,6,4,6,3,1,0
23,3640700,3,0,4,0,0,1
24,5075700,4,0,4,2,1,1
25,0,6,3,4,1,3,0
