Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,431557600,5,0,7,2,3,1
1,412667400,5,7,7,5,2,1
2,249215000,2,7,0,5,3,0
3,407639500,1,7,0,6,3,0
4,313983200,6,0,6,2,1,1
5,828231100,7,5,5,3,3,0
6,435151400,5,3,2,6,2,0
7,626908000,7,2,6,3,2,0
8,997717800,6,2,6,5,1,1
9,852197600,2,6,3,5,2,1
10,540245600,3,5,0,5,0,0
11,379732700,6,5,3,5,0,0
12,405643700,1,0,3,2,3,1
13,1134214600,3,5,3,1,1,0
14,400663000,3,2,5,4,3,1
15,821258200,0,6,0,4,1,0
16,448502900,0,4,3,1,2,1
17,764448700,6,3,6,6,1,1
18,917987800,3,1,3,2,1,1
19,516327100,6,6,5,7,2,0
20,450543500,5,4,6,3,2,1
21,571099900,6,3,7,2,2,1
22,446508700,4,7,7,7,0,1
23,375794900,3,2,1,0,3,0
24,194354900,5,7,6,6,2,1
25,382726600,6,7,4,7,0,0
