Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,6981900,2,7,0,5,3,0
1,3979900,5,0,7,2,3,1
2,5707000,0,5,1,5,0,1
3,3990700,3,7,0,4,3,0
4,4031900,4,0,4,2,1,1
5,3987700,6,7,7,6,2,1
6,8975400,3,0,0,0,0,0
7,4008400,6,0,6,2,1,1
8,3981200,1,0,3,2,3,1
9,4028800,6,2,6,0,1,0
10,4987000,6,0,6,1,1,1
11,5029100,3,2,2,3,2,0
12,4986300,6,1,6,3,1,1
13,13962600,0,0,3,3,3,1
14,9963700,3,3,7,3,0,1
15,4987500,2,3,4,5,3,1
16,6018800,6,3,3,3,0,0
17,8014500,4,5,3,5,0,0
18,4989800,3,3,3,5,1,1
19,9973800,3,5,3,6,1,1
20,5031300,7,3,7,7,1,1
21,4986400,3,6,0,6,0,0
22,3991500,0,6,2,6,0,1
23,4953300,2,6,4,6,0,1
24,5024200,4,6,4,4,1,0
25,6980500,7,6,6,5,3,0
26,5983800,7,2,6,1,3,0
27,5983800,4,4,2,2,3,0
28,6002100,2,2,2,1,1,0
29,5982000,7,7,6,6,3,0
30,9011800,2,1,5,1,0,1
31,9971200,5,1,2,1,0,0
32,10019900,2,1,5,1,0,1
33,9974900,6,6,7,5,2,1
34,7978300,6,1,2,1,0,0
35,6982300,7,5,6,5,0,0
36,5983000,2,1,5,4,3,1
