Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,50830000,2,7,0,5,3,0
1,67772100,2,0,0,2,2,0
2,26908900,4,0,6,2,3,1
3,34937700,6,2,4,2,0,0
4,34930900,0,5,1,5,0,1
5,35879600,4,7,0,7,0,0
6,106687900,1,0,1,3,1,1
7,38869100,3,7,4,6,2,1
8,147503500,0,7,3,7,0,1
9,34933300,4,6,6,4,2,1
10,36874300,1,3,3,3,0,1
11,85715200,1,7,4,7,0,1
12,54816400,4,7,1,7,0,0
13,38871200,1,7,1,4,1,0
14,56808300,0,2,1,1,2,1
15,50828400,3,0,4,1,3,1
16,103651800,3,3,6,3,0,1
17,83719100,4,2,2,0,3,0
18,56810500,3,7,5,7,0,1
19,123586500,6,7,7,6,2,1
20,62790700,2,0,4,0,0,1
21,52820800,4,1,0,1,0,0
22,58803000,1,4,2,3,2,1
23,50855700,7,6,6,7,2,0
24,96676700,0,1,1,0,2,1
25,77740000,1,0,0,1,2,0
26,68822400,1,1,2,0,2,1
27,96676100,6,3,5,4,2,0
28,52821300,5,4,6,3,2,1
29,163451600,6,7,4,7,0,0
30,71811200,2,0,1,1,2,0
31,57806500,2,3,4,5,3,1
32,87750600,4,0,2,0,0,0
33,53831600,4,7,2,7,0,0
34,87709000,0,1,0,3,1,1
35,121592000,0,3,1,2,2,1
36,71758900,1,5,4,2,2,1
37,82771900,2,0,0,0,0,0
38,188413300,1,1,2,0,2,1
39,104650700,2,0,5,3,3,1
40,65827100,6,0,7,1,3,1
41,80729500,7,1,7,0,1,0
42,57807300,4,5,7,2,2,1
43,73752100,7,2,7,4,1,1
44,98670700,0,0,2,0,0,1
45,103710700,5,3,7,1,2,1
46,87707900,5,7,6,6,2,1
47,122588400,7,1,5,3,2,0
48,76746900,6,6,7,5,2,1
49,114615400,2,0,1,1,2,0
50,65826500,5,3,7,3,0,1
51,58852500,2,7,4,5,2,1
52,88752500,1,2,1,0,1,0
53,80731000,1,0,1,2,1,1
54,66775300,7,3,7,7,1,1
55,91693600,1,1,1,4,1,1
56,150499200,1,4,4,4,0,1
57,71760200,4,4,6,2,2,1
58,88704400,6,2,5,1,3,0
59,68770500,7,7,6,7,0,0
60,74791700,6,4,4,4,0,0
61,113666400,6,3,6,6,1,1
62,208305000,4,5,2,5,0,0
63,74749600,6,7,7,7,0,1
64,73751800,7,5,5,5,0,0
65,119601100,2,5,1,4,3,0
66,75746600,1,4,1,6,1,1
67,81774400,1,2,0,3,2,0
68,222305200,5,1,4,0,3,0
69,188370900,4,2,4,6,1,1
70,89745900,4,0,4,3,1,1
71,76790500,4,4,2,4,0,0
72,120597300,5,5,7,5,0,1
73,95678900,1,6,5,6,0,1
74,123587400,0,3,0,2,1,0
75,97725200,4,6,0,6,0,0
76,106690300,5,6,1,6,0,0
77,134549100,4,3,2,1,3,0
78,105651600,1,6,1,4,1,0
79,248212700,7,7,7,3,1,0
80,98717500,7,3,6,2,3,0
81,124585800,1,4,0,3,3,0
82,112664600,0,3,0,0,1,0
83,88701300,6,2,4,4,2,0
84,121595000,7,5,5,3,3,0
85,116611800,5,3,5,1,1,0
86,76786900,0,6,3,6,0,1
87,82772700,5,1,4,0,3,0
88,84714400,3,6,0,6,0,0
89,155479400,7,0,3,0,0,0
90,75793600,7,4,5,2,3,0
91,94730900,4,0,4,2,1,1
92,83720600,4,4,4,6,1,1
93,95680800,4,6,4,4,1,0
94,82761600,4,2,1,2,0,0
95,101708700,5,2,7,4,3,1
96,102657500,4,4,4,2,1,0
97,89747600,7,4,5,2,3,0
98,120644400,3,0,6,0,0,1
99,170477800,6,6,4,6,0,0
100,89698000,5,2,6,3,3,1
101,113620900,4,2,4,4,1,1
102,104649100,6,3,5,2,3,0
103,142524500,5,2,5,1,1,0
104,101656500,5,1,6,2,3,1
105,102654200,6,2,6,5,1,1
106,120597900,1,2,3,2,0,1
107,110630500,6,5,5,6,2,0
108,100715800,5,6,6,5,2,1
109,229282500,6,0,3,3,2,0
110,112662800,6,5,5,6,2,0
111,156477300,2,4,5,1,2,1
112,172471100,4,4,5,4,0,1
113,112623200,5,6,2,6,0,0
114,147508700,3,2,3,5,1,1
115,122589900,5,4,3,2,3,0
116,152490200,4,6,4,7,1,1
117,146516200,2,6,1,5,3,0
118,114665900,0,6,1,7,3,1
119,150496900,3,5,6,2,2,1
120,201329900,4,7,5,6,2,1
121,153524000,0,2,0,4,1,1
122,216279900,5,6,6,7,3,1
123,205524700,6,2,4,2,0,0
124,150502500,3,2,5,4,3,1
125,130615900,5,4,7,6,3,1
126,139530000,1,7,0,6,3,0
127,153527800,7,6,4,6,0,0
128,157472400,3,3,1,3,0,0
129,181392300,1,3,1,1,1,0
130,122633800,1,5,1,3,1,0
131,146510900,2,1,1,2,2,0
132,142522600,1,3,1,0,1,0
133,147507800,1,0,0,1,2,0
134,148501900,0,6,2,6,0,1
135,235215400,5,1,4,0,3,0
136,113618600,0,1,3,4,3,1
137,140580000,4,0,2,0,0,0
138,174416000,0,4,0,7,1,1
139,103653100,6,7,3,7,0,0
140,101709900,4,6,6,6,0,1
141,157519800,3,4,5,6,3,1
142,124581900,2,6,2,2,1,0
143,373750500,2,0,4,0,0,1
144,126577600,0,0,2,0,0,1
145,173421100,5,6,5,7,1,1
146,151494800,3,7,7,7,0,1
147,173471700,4,0,6,0,0,1
148,165447100,2,0,0,0,0,0
149,217272100,0,7,3,7,0,1
150,282058800,4,2,3,1,3,0
151,213288100,2,2,0,4,2,0
152,146560100,3,7,4,6,2,1
153,349832300,6,6,6,4,1,0
154,134550900,1,1,1,3,1,1
155,350827900,1,3,4,0,2,1
156,119602000,1,2,3,4,3,1
157,165492700,4,0,1,3,2,0
158,195396200,3,4,1,6,2,0
159,178455300,3,1,1,1,0,0
160,211292600,1,6,2,7,3,1
161,174417400,6,4,6,6,1,1
162,247173300,4,6,7,6,0,1
163,619929400,0,4,1,5,3,1
164,808301100,7,6,7,3,1,0
165,240196000,1,3,1,0,1,0
166,172478600,5,7,5,6,1,0
167,192356000,5,6,6,7,3,1
168,207307700,6,6,5,7,2,0
169,207306100,6,0,6,2,1,1
170,126577800,6,7,5,6,3,0
171,141527900,6,2,5,1,3,0
172,131607000,5,6,6,7,3,1
173,125628000,5,1,6,2,3,1
174,184382100,5,7,1,7,0,0
175,134551100,6,2,6,4,1,1
176,132555300,0,0,3,3,3,1
177,146508800,1,1,1,5,1,1
178,204314900,1,0,1,4,1,1
179,124582200,6,4,6,2,1,0
180,182403500,1,4,2,5,3,1
181,177406000,7,7,5,5,3,0
182,118653800,6,2,5,2,0,0
183,269153700,6,7,7,6,2,1
184,180448200,7,6,6,5,3,0
185,129565700,3,3,3,4,1,1
186,151540500,1,5,1,2,1,0
187,181392700,3,4,3,2,1,0
188,237262700,6,5,6,2,1,0
189,143569600,3,2,3,4,1,1
190,134600800,6,2,6,5,1,1
191,219266300,5,2,6,3,3,1
192,183387800,5,5,6,6,3,1
193,187370700,6,5,7,6,3,1
194,243186100,1,2,2,2,0,1
195,145564700,7,6,6,7,2,0
196,301989900,6,3,4,3,0,0
197,245178700,3,4,3,6,1,1
198,191412200,2,2,0,0,3,0
199,240196300,4,3,4,4,1,1
200,173422000,4,4,2,6,2,0
201,169433800,6,6,4,4,3,0
202,174417900,2,6,5,6,0,1
203,163500500,4,4,2,2,3,0
204,213288100,6,7,4,5,3,0
205,169477600,4,5,6,5,0,1
206,168436500,2,5,4,7,3,1
207,185380900,3,6,1,6,0,0
208,161507100,6,5,6,6,1,1
209,156475500,5,6,2,6,0,0
210,190410600,2,6,0,4,3,0
211,135546700,1,6,2,5,2,1
212,171426500,1,7,0,6,3,0
213,165442300,2,7,3,6,2,1
214,131615700,3,6,4,5,2,1
215,250211400,6,6,6,5,1,0
216,143561500,0,6,0,3,1,0
217,212291600,2,2,4,4,3,1
218,289081600,2,5,1,6,2,0
219,160462700,1,6,0,7,2,0
220,132556800,6,5,6,4,1,0
221,122637700,0,3,1,2,2,1
222,568099400,0,7,2,5,2,1
223,520313200,4,7,5,7,0,1
224,439533400,2,5,2,7,1,1
225,275079300,6,4,6,5,1,1
226,146559000,4,5,4,7,1,1
227,238206000,4,4,7,4,0,1
228,297008100,0,0,1,0,0,1
229,369764000,7,4,5,4,0,0
230,225248500,1,0,0,0,0,0
231,402656600,2,7,4,5,2,1
232,233268100,5,4,3,6,2,0
233,408685800,3,6,5,4,2,1
234,285069000,4,5,2,7,2,0
235,128571000,2,7,4,5,2,1
236,443519800,0,0,1,0,0,1
237,366774300,1,0,0,0,0,0
238,219316600,4,7,3,6,3,0
239,155526500,3,6,4,7,3,1
240,218318600,4,7,3,6,3,0
241,336872600,5,4,5,2,1,0
242,315990800,3,6,4,7,3,1
243,316998600,5,2,4,1,3,0
244,243243500,4,1,2,1,0,0
245,242189900,6,5,6,6,1,1
246,262171300,4,7,3,6,3,0
247,254149400,6,6,4,4,3,0
248,319931800,2,1,4,1,0,1
249,277072400,4,1,5,1,0,1
250,181394700,4,4,4,6,1,1
251,185379300,5,1,4,2,2,0
252,266109700,3,6,6,6,0,1
253,179401300,4,6,3,5,3,0
254,182392700,6,6,6,4,1,0
255,173461400,0,0,1,1,3,1
256,196345000,1,1,2,0,2,1
257,254149300,4,5,6,3,2,1
258,184384200,6,3,5,2,3,0
259,263179800,3,5,6,2,2,1
260,248171900,5,2,5,1,1,0
261,279114700,2,0,1,1,2,0
262,161458900,1,1,0,0,3,0
263,220264400,6,2,6,0,1,0
264,167439300,5,1,6,2,3,1
265,284050300,0,0,1,1,3,1
266,273089200,1,1,2,2,3,1
267,311013800,2,2,1,1,3,0
268,271146900,1,1,0,2,2,0
269,328952500,0,2,3,2,0,1
270,249168200,3,2,0,2,0,0
271,230272400,6,2,3,2,0,0
272,293068200,3,2,1,0,3,0
273,241192900,6,0,6,2,1,1
274,175412200,1,0,3,0,0,1
275,234219100,4,2,1,2,0,0
276,508345900,6,4,4,4,0,0
277,248172400,3,0,1,0,0,0
278,278122400,1,2,2,1,2,1
279,242239300,4,4,1,7,2,0
280,171426100,2,1,1,2,2,0
281,251159900,6,2,6,0,1,0
282,226245000,1,0,3,0,0,1
283,173419700,6,0,4,0,0,0
284,195346000,3,0,5,0,0,1
285,213285600,5,0,7,0,0,1
286,195345800,1,2,3,2,0,1
287,255151200,1,7,2,6,2,1
288,234216000,4,0,2,0,0,0
289,209298900,3,2,4,1,2,1
290,392687900,7,0,5,0,0,0
291,313950500,4,1,4,0,1,0
292,209300800,0,2,0,4,1,1
293,211303200,2,6,4,6,0,1
294,216327000,5,0,6,1,3,1
295,910961000,0,4,0,2,1,0
296,201333400,0,2,0,4,1,1
297,209049400,4,0,6,2,3,1
298,394684100,0,4,0,6,1,1
299,218270700,2,0,1,1,2,0
300,311958700,6,1,4,3,2,0
301,318976200,1,1,3,1,0,1
302,420650500,4,3,3,4,2,0
303,1016648500,3,1,6,1,0,1
304,421594900,6,1,5,0,3,0
305,406640700,5,0,4,0,0,0
306,744241600,4,0,5,0,0,1
307,205312800,4,6,5,7,3,1
308,360796200,5,0,4,1,2,0
309,206358400,0,6,1,5,2,1
310,1422266300,1,5,1,3,1,0
311,237208300,6,2,5,1,3,0
312,198385300,4,1,2,1,0,0
313,829251400,2,1,2,2,1,1
314,168437200,5,1,6,0,2,1
315,133601900,6,0,5,0,0,0
316,139580900,5,0,4,1,2,0
317,144560000,4,1,4,2,1,1
318,154482600,5,7,3,7,0,0
319,155478600,4,2,3,3,2,0
320,136542400,3,7,1,7,0,0
321,143521400,1,7,0,6,3,0
322,143521000,3,3,1,1,3,0
323,173461300,0,6,2,4,2,1
324,299002200,2,4,4,2,2,1
325,185380700,1,1,0,2,2,0
326,220263300,4,2,2,2,0,0
327,117605800,0,2,1,1,2,1
