Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,1188846000,5,0,5,3,1,1
1,1314524200,3,0,1,2,2,0
2,1186869800,5,7,3,5,3,0
3,1376360200,3,7,1,5,3,0
4,2203141100,2,0,0,2,2,0
5,2062470200,0,2,1,1,2,1
6,1367345300,1,5,5,5,0,1
7,1475097800,2,7,0,5,3,0
8,1885000600,1,0,5,0,0,1
9,1316521900,1,1,2,0,2,1
10,2410572600,5,0,3,2,2,0
11,2167248200,0,5,4,5,0,1
12,2016650200,3,5,7,5,0,1
13,2762605900,4,7,2,5,3,0
14,2138282600,2,5,2,1,1,0
15,2565191800,1,7,1,4,1,0
16,1645640300,4,0,4,2,1,1
