Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,5237427800,0,5,2,7,3,1
1,5480517900,0,6,2,6,0,1
2,9320290200,7,2,5,4,2,0
3,8599778600,0,2,2,0,2,1
4,8010292400,7,3,5,5,2,0
5,5843465800,2,7,4,5,2,1
6,6861734400,4,5,7,5,0,1
7,4082099400,0,4,4,4,0,1
8,5208029100,5,5,2,2,3,0
9,2903876200,7,4,4,4,0,0
10,3071665600,2,2,3,2,0,1
11,3662594200,0,1,1,1,0,1
12,3598652400,0,3,0,1,1,0
13,2552771500,7,6,6,7,2,0
14,3465529800,4,4,1,7,2,0
15,4324963700,6,7,4,7,0,0
16,4313216700,4,7,6,7,0,1
17,3745125400,2,6,2,5,1,0
18,3276324400,6,7,4,5,3,0
19,3213147200,1,7,2,7,0,1
20,4006015900,2,5,2,2,1,0
21,3276602000,7,5,7,6,1,1
22,2730752800,4,5,4,7,1,1
23,2504716000,2,2,4,2,0,1
24,2785838800,3,2,3,1,1,0
25,6055475900,1,1,1,2,1,1
26,10550272600,4,2,6,2,0,1
27,2398566400,3,1,5,1,0,1
28,4776395000,1,2,1,1,1,0
29,5349737400,2,7,0,7,0,0
