Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,27958600,7,1,5,3,2,0
1,19172400,0,4,2,2,2,1
2,17995000,0,3,2,5,3,1
3,14959300,7,4,5,2,3,0
4,14959700,5,2,7,0,2,1
5,18947400,7,2,5,0,3,0
6,10983400,0,1,2,3,3,1
7,9974500,0,5,1,6,3,1
8,15938300,1,6,4,6,0,1
9,13998200,0,2,3,5,3,1
10,12993000,7,0,5,2,2,0
11,13005500,2,3,4,5,3,1
12,12002100,7,6,7,4,1,0
13,12999800,7,4,5,4,0,0
14,10969900,5,0,3,0,0,0
15,9011700,7,5,7,6,1,1
16,9218200,7,6,6,7,2,0
17,5111300,6,7,6,5,1,0
18,1994600,6,5,3,5,0,0
