Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,104122800,2,0,0,2,2,0
1,107039200,2,7,0,5,3,0
2,101968400,4,0,4,2,1,1
3,133143000,3,7,3,5,1,0
4,128867400,4,2,5,3,3,1
5,176815200,1,0,3,2,3,1
6,106467600,6,7,6,5,1,0
7,152075600,6,5,6,7,1,1
8,98492500,3,5,5,5,0,1
9,176446100,5,5,7,3,2,1
10,162724400,7,3,6,2,3,0
11,122535000,6,7,6,4,1,0
12,226586500,6,4,6,7,1,1
13,224495600,3,2,5,4,3,1
14,253774200,0,5,1,4,2,1
15,170647600,0,2,1,1,2,1
16,144753200,4,7,5,6,2,1
17,350075300,3,0,3,2,1,1
18,94541600,1,1,1,4,1,1
19,133261000,3,2,1,4,2,0
20,79037900,6,2,4,2,0,0
21,58559600,4,2,5,3,3,1
22,102974400,5,3,4,2,3,0
23,84175200,4,2,4,3,1,1
24,80343600,4,3,2,5,2,0
25,133490500,6,0,4,0,0,0
26,78147500,2,5,4,3,2,1
27,116201800,4,3,6,3,0,1
28,100985600,6,3,6,5,1,1
29,80499900,4,0,6,0,0,1
30,72944500,1,7,4,4,2,1
31,122455000,6,0,6,2,1,1
32,99710400,4,4,2,4,0,0
33,141267600,6,2,7,1,2,1
34,134828200,2,4,1,4,0,0
35,87215500,1,4,2,5,3,1
36,95955800,2,5,3,4,2,1
37,67905000,3,4,5,6,3,1
38,119678000,5,6,5,4,1,0
39,112286100,5,4,4,4,0,0
40,62530500,4,4,5,4,0,1
41,132312800,5,4,4,4,0,0
42,78292800,4,4,4,6,1,1
43,102606100,7,1,7,0,1,0
44,150550400,4,6,3,7,2,0
45,70579300,7,0,7,1,1,1
46,164460600,3,7,2,6,3,0
47,83364700,2,6,1,5,3,0
48,122508700,1,5,2,5,0,1
49,126590900,7,1,6,2,2,0
50,163104100,6,2,6,3,1,1
51,124935000,6,3,7,3,0,1
52,122865000,7,3,7,2,1,0
53,124013200,7,2,6,3,2,0
54,124714800,6,3,7,3,0,1
55,142224500,2,5,3,4,2,1
56,170774300,3,4,4,3,2,1
57,44650000,4,3,6,3,0,1
