Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,660792400,6,0,0,0,0,0
1,680778800,3,7,5,5,2,1
2,565113200,4,7,2,5,3,0
3,615992300,3,0,3,1,1,1
4,711672600,6,7,6,5,1,0
5,781392100,2,5,0,3,3,0
6,762453900,5,5,2,5,0,0
7,729563200,6,5,5,6,2,0
8,579067300,1,0,3,2,3,1
9,691737400,4,0,7,0,0,1
10,633884300,3,2,5,2,0,1
11,538201700,2,0,0,2,2,0
12,459518300,5,6,6,5,2,1
13,534216400,0,2,1,3,3,1
14,594062600,1,3,1,0,1,0
15,624915800,6,5,4,3,3,0
16,582104900,2,5,2,6,1,1
17,609963100,1,7,3,7,0,1
18,624960500,4,3,4,5,1,1
19,670761400,5,2,3,0,3,0
20,563168400,1,0,3,2,3,1
21,717604800,3,7,4,7,0,1
22,735547000,3,2,5,0,2,1
23,658797900,4,5,6,7,3,1
24,551160400,2,6,1,5,3,0
25,551208700,0,0,1,1,3,1
26,659798200,1,1,0,0,3,0
27,504369600,1,5,0,6,2,0
28,242187600,6,7,7,6,2,1
29,304032200,0,6,1,7,3,1
30,398666800,1,7,0,6,3,0
31,319932200,4,7,2,5,3,0
32,278072300,2,5,4,7,3,1
33,444327600,0,6,1,7,3,1
34,401657500,0,3,0,5,1,1
35,424580200,0,5,0,3,1,0
36,579683800,0,3,2,1,2,1
37,433555600,3,0,3,2,1,1
38,493353100,3,2,2,2,0,0
39,515278400,2,2,1,2,0,0
40,414613900,1,7,1,4,1,0
41,445510600,1,2,1,5,1,1
42,498335200,1,4,0,5,2,0
43,596258200,0,5,0,3,1,0
44,471426700,0,3,0,5,1,1
45,524248400,0,5,0,3,1,0
46,456474700,7,6,6,7,2,0
47,428621300,1,5,0,4,3,0
48,321923800,2,1,2,2,1,1
49,529407800,0,3,2,3,0,1
50,486434800,2,2,5,2,0,1
51,549195600,6,7,6,5,1,0
52,771424300,5,2,5,3,1,1
53,635879000,6,5,5,4,3,0
54,990699900,5,4,4,3,3,0
55,500328400,2,3,2,2,1,0
56,445040900,5,3,6,2,2,1
57,401658500,6,2,3,2,0,0
58,399665300,4,7,4,5,1,0
59,481441000,2,2,2,0,1,0
60,623917900,4,5,4,4,1,0
61,521260400,4,4,2,2,3,0
62,346841100,2,0,0,2,2,0
63,435586100,0,2,1,1,2,1
64,541236700,2,2,2,1,1,0
65,73752900,0,4,1,3,2,1
66,368770400,1,3,0,4,2,0
67,154482200,0,4,1,3,2,1
68,198339000,1,3,0,4,2,0
69,1029100,0,4,0,2,1,0
