Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,720115100,7,1,5,3,2,0
1,630357800,7,6,7,1,1,0
2,506644900,7,5,5,5,0,0
3,598440000,7,4,5,4,0,0
4,551570000,0,1,2,1,0,1
5,482746900,7,2,6,1,3,0
6,502695400,5,4,3,6,2,0
7,471726300,7,3,7,5,1,1
8,417951400,6,1,5,0,3,0
9,330164700,0,6,2,6,0,1
10,342126800,7,5,7,3,1,0
11,289227800,3,6,4,5,2,1
12,276300800,7,3,7,5,1,1
13,222397300,0,3,2,5,3,1
14,146607000,7,1,5,1,0,0
15,178562500,0,4,1,4,0,1
16,253323700,5,1,3,3,2,0
17,998000,2,6,4,4,2,1
