Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,1102418200,0,2,2,0,2,1
1,668787300,0,3,2,5,3,1
2,987471500,2,5,0,7,2,0
3,1922171400,7,4,6,5,2,0
4,1320838000,0,5,2,7,3,1
5,1842283000,7,5,4,5,0,0
6,1407770700,4,5,1,5,0,0
7,1275992600,0,4,2,2,2,1
8,2274262800,0,6,3,3,2,1
9,2407474500,0,7,3,7,0,1
10,3684919600,7,3,6,2,3,0
11,3495485900,6,2,6,0,1,0
12,1654591100,7,6,6,7,2,0
13,2311114600,6,5,4,3,3,0
14,1220155100,2,2,4,2,0,1
15,1240107800,3,3,3,5,1,1
16,1954403600,1,5,1,3,1,0
